number,thumb,full
0495,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6984507--bbf665e0d8a849071351250a4fa42675cd9cea83eecb382dd49b30a70eba6923.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6984507--bbf665e0d8a849071351250a4fa42675cd9cea83eecb382dd49b30a70eba6923.jpeg/full/3500,/0/default.jpg"
0496,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6457763--f317fee40371267c82abacf24ab35e2ae2822925a0ec707121137e426b468e57.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s6457763--f317fee40371267c82abacf24ab35e2ae2822925a0ec707121137e426b468e57.jpeg/full/3500,/0/default.jpg"
0497,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5910848--67114887d42a5905d41e170696161f8f3995a199dff70105854934d67360a99b.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5910848--67114887d42a5905d41e170696161f8f3995a199dff70105854934d67360a99b.jpeg/full/3500,/0/default.jpg"
0498,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3293458--41d3814b7a1f69b70fcf18bb58884b11b6bbde5c53c39c9fcb8f49e2e055a82a.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3293458--41d3814b7a1f69b70fcf18bb58884b11b6bbde5c53c39c9fcb8f49e2e055a82a.jpeg/full/3500,/0/default.jpg"
0499,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2784232--3c016c67e385f35952caf31186fdb9f24c68bb005142c5e797cd028ae2198269.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s2784232--3c016c67e385f35952caf31186fdb9f24c68bb005142c5e797cd028ae2198269.jpeg/full/3500,/0/default.jpg"
0500,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3565057--5e653d2cb2bff6351e29ef7c20cc1445d456a7aaa446933745b0b146b8f16560.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s3565057--5e653d2cb2bff6351e29ef7c20cc1445d456a7aaa446933745b0b146b8f16560.jpeg/full/3500,/0/default.jpg"
0501,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s1929794--ff9404ecbd3a44f007f573beb90b5869e19ef457cfe908fae9ec04c325e1c0ca.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s1929794--ff9404ecbd3a44f007f573beb90b5869e19ef457cfe908fae9ec04c325e1c0ca.jpeg/full/3500,/0/default.jpg"
0502,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7160661--3db6da116930755ad3f5769415c4ce98be8c61e462c40683894d19559fd9fd26.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7160661--3db6da116930755ad3f5769415c4ce98be8c61e462c40683894d19559fd9fd26.jpeg/full/3500,/0/default.jpg"
0503,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7160661--3db6da116930755ad3f5769415c4ce98be8c61e462c40683894d19559fd9fd26.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s7160661--3db6da116930755ad3f5769415c4ce98be8c61e462c40683894d19559fd9fd26.jpeg/full/3500,/0/default.jpg"
0504,"https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5966821--0ed0a36a1141e014daf1d432aad2f3258c7a0fe57a62b4de22f27d64ee3d97fe.jpeg/full/!200,200/0/default.jpg","https://colenda.library.upenn.edu/phalt/iiif/2/ark81431p35d8nw83%2FSHA256E-s5966821--0ed0a36a1141e014daf1d432aad2f3258c7a0fe57a62b4de22f27d64ee3d97fe.jpeg/full/3500,/0/default.jpg"
